"SITECODE","NAME","EMAIL","ADDRESS_UNSTRUCTURED","ADMINUNIT","THOROUGHFARE","DESIGNATOR","POSTCODE","POSTNAME","ADDRESS","LOCATORNAME"
"FI0200131","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200132","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200133","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200134","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200137","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200138","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200141","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200143","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200146","","","Lounais-Suomen ympäristökeskus Pl 47 20801 Turku","","","","","","",""
"FI0200147","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200148","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200149","","","Lounais-Suomen ympäristökeskus Pl 47   20801 Turku","","","","","","",""
"FI0200150","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200151","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200152","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200154","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200155","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200156","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200157","","","Lounais-Suomen ympäristökeskus Pl 47   20801 Turku","","","","","","",""
"FI0200158","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200159","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200160","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200161","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200163","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200164","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200165","","","Lounais-Suomen ympäristökeskus PL 4720801 Turku","","","","","","",""
"FI0200166","","","Lounais-Suomen ympäristökeskus PL 4720801 Turku","","","","","","",""
"FI0200167","","","Lounais-Suomen ympäristökeskus PL 4720801 Turku","","","","","","",""
"FI0200168","","","Lounais-Suomen ympäristökeskus PL 4720801 TURKU","","","","","","",""
"FI0200169","","","Lounais-Suomen ympäristökeskus PL 4720801 TURKU","","","","","","",""
"FI0200171","","","Lounais-Suomen ympäristökeskus PL 4720801 TURKU","","","","","","",""
"FI0200172","","","Lounais-Suomen ympäristökeskus PL 4720801 Turku","","","","","","",""
"FI0200174","","","Lounais-Suomen ympäristökeskus PL 4720801 Turku","","","","","","",""
"FI0200175","","","Lounais-Suomen ympäristökeskus PL 4720801 TURKU","","","","","","",""
"FI0200176","","","Lounais-Suomen ympäristökeskus PL 4720801 Turku","","","","","","",""
